rank,prev_rank,name,league,off,def,spi
156,161,Stoke City,English League Championship,1.4,1.03,54.46
157,147,Genoa,Italy Serie A,1.49,1.13,54.28
158,178,Fluminense,Brasileiro Série A,1.31,0.96,54.07
159,164,León,Mexican Primera Division Torneo Apertura,1.51,1.15,54.07
160,162,St Etienne,French Ligue 1,1.39,1.03,54.03
161,153,Schalke 04,German Bundesliga,1.6,1.24,53.96
162,152,Ferencvaros,UEFA Champions League,1.65,1.29,53.79
163,160,Santos,Brasileiro Série A,1.4,1.06,53.69
164,184,Bragantino,Brasileiro Série A,1.3,0.98,53.36
165,165,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
166,154,Hapoel Be'er,UEFA Europa League,1.65,1.32,53.23
167,168,Monterrey,Mexican Primera Division Torneo Apertura,1.56,1.24,53.09
168,156,Swansea City,English League Championship,1.36,1.05,53.05
169,157,Anderlecht,Belgian Jupiler League,1.51,1.2,52.99
170,159,Vitesse,Dutch Eredivisie,1.62,1.31,52.84
171,163,Blackburn,English League Championship,1.51,1.2,52.84
172,181,Benevento,Italy Serie A,1.53,1.24,52.44
173,173,Rio Ave,Portuguese Liga,1.25,0.97,52.29
174,193,Pachuca,Mexican Primera Division Torneo Apertura,1.3,1.03,52.09
175,180,Guimaraes,Portuguese Liga,1.28,1.01,51.86
176,206,Ceará,Brasileiro Série A,1.39,1.13,51.83
177,183,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
178,166,Ludogorets,UEFA Europa League,1.57,1.31,51.81
179,176,Middlesbrough,English League Championship,1.29,1.03,51.79
180,188,CSKA Sofia,UEFA Europa League,1.27,1.01,51.67
181,175,Crotone,Italy Serie A,1.4,1.15,51.58
182,185,Santos Laguna,Mexican Primera Division Torneo Apertura,1.46,1.21,51.55
183,187,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
184,171,Lech Poznan,UEFA Europa League,1.39,1.15,51.19
185,182,Sochi,Russian Premier Liga,1.43,1.19,51.09
186,189,Los Angeles FC,Major League Soccer,1.78,1.55,50.97
187,190,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.57,1.35,50.91
188,191,Philadelphia Union,Major League Soccer,1.6,1.38,50.91
189,221,Mallorca,Spanish Segunda Division,1.16,0.93,50.89
190,239,Reading,English League Championship,1.4,1.18,50.78
191,205,Standard Liege,Belgian Jupiler League,1.41,1.19,50.69
192,192,New York City FC,Major League Soccer,1.67,1.46,50.69
193,198,Brondby,Danish SAS-Ligaen,1.56,1.36,50.49
194,202,FC Copenhagen,Danish SAS-Ligaen,1.63,1.42,50.46
195,186,CFR 1907 Cluj,UEFA Europa League,1.44,1.25,50.31
196,211,FC Utrecht,Dutch Eredivisie,1.59,1.4,50.2
197,196,Club América,Mexican Primera Division Torneo Apertura,1.49,1.3,50.0
198,195,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
199,194,Lorient,French Ligue 1,1.37,1.19,49.76
200,174,Sporting de Charleroi,Belgian Jupiler League,1.44,1.28,49.56
201,199,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
202,207,Dijon FCO,French Ligue 1,1.36,1.2,49.39
203,150,Atlético Paranaense,Brasileiro Série A,1.2,1.03,49.38
204,200,Seattle Sounders FC,Major League Soccer,1.43,1.29,49.12
205,209,Corinthians,Brasileiro Série A,1.19,1.03,49.03
206,236,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.43,1.29,49.02
207,179,Nimes,French Ligue 1,1.33,1.19,48.9
208,219,FC Nordsjaelland,Danish SAS-Ligaen,1.56,1.44,48.79
209,203,Fortaleza,Brasileiro Série A,1.14,1.0,48.78
210,215,Pacos Ferreira,Portuguese Liga,1.29,1.16,48.65
211,210,Rubin Kazan,Russian Premier Liga,1.23,1.1,48.61
212,212,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
213,213,Racing Club,Argentina Primera Division,1.18,1.06,48.4
214,169,KAA Gent,Belgian Jupiler League,1.52,1.41,48.37
215,201,Millwall,English League Championship,1.2,1.09,48.16
216,204,FK Qarabag,UEFA Europa League,1.32,1.23,47.77
217,217,Panathinaikos,Greek Super League,1.08,0.98,47.54
218,216,Terek Grozny,Russian Premier Liga,1.21,1.13,47.38
219,220,Yokohama F. Marinos,Japanese J League,1.76,1.71,47.25
220,222,Huddersfield Town,English League Championship,1.29,1.22,47.22
221,197,Bristol City,English League Championship,1.3,1.23,47.01
222,223,St Gallen,Swiss Raiffeisen Super League,1.52,1.48,46.87
223,214,AGF Aarhus,Danish SAS-Ligaen,1.46,1.42,46.82
224,208,Bahía,Brasileiro Série A,1.29,1.24,46.7
225,227,Toulouse,French Ligue 2,1.47,1.44,46.68
226,224,Guadalajara,Mexican Primera Division Torneo Apertura,1.26,1.22,46.42
227,218,Preston North End,English League Championship,1.3,1.28,46.23
228,233,Omonia Nicosia,UEFA Europa League,1.42,1.4,46.21
229,225,Santa Clara,Portuguese Liga,1.22,1.19,46.18
230,228,Morelia,Mexican Primera Division Torneo Clausura,1.43,1.42,46.04
231,231,Barnsley,English League Championship,1.19,1.17,46.01
232,235,FC Lugano,Swiss Raiffeisen Super League,1.31,1.3,45.84
233,229,Lanus,Argentina Primera Division,1.28,1.27,45.68
234,244,New England Revolution,Major League Soccer,1.43,1.44,45.63
235,243,Gil Vicente,Portuguese Liga,1.17,1.16,45.6
236,252,FC Zorya Luhansk,UEFA Europa League,1.27,1.3,45.07
237,246,Portimonense,Portuguese Liga,1.16,1.18,44.83
238,240,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
239,241,Famalicao,Portuguese Liga,1.27,1.3,44.81
240,226,Hamburg SV,German 2. Bundesliga,1.43,1.49,44.74
241,230,Queens Park Rangers,English League Championship,1.37,1.42,44.72
242,242,Botafogo,Brasileiro Série A,1.21,1.24,44.67
243,249,FC Arsenal Tula,Russian Premier Liga,1.26,1.32,44.31
244,232,Djurgardens IF,Swedish Allsvenskan,1.33,1.41,44.09
245,238,Atlético Goianiense,Brasileiro Série A,1.1,1.15,44.08
246,248,SC Farense,Portuguese Liga,1.27,1.34,43.93
247,253,Aris Salonika,Greek Super League,1.32,1.4,43.8
248,260,Konyaspor,Turkish Turkcell Super Lig,1.17,1.25,43.52
249,250,SC Paderborn,German 2. Bundesliga,1.3,1.4,43.39
250,237,Vasco da Gama,Brasileiro Série A,1.17,1.26,43.34
251,251,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.3,1.41,43.22
252,245,Sivasspor,Turkish Turkcell Super Lig,1.24,1.35,43.16
253,254,Boavista,Portuguese Liga,1.14,1.23,43.06
254,247,Nottingham Forest,English League Championship,1.12,1.22,43.01
255,256,Ural Sverdlovsk Oblast,Russian Premier Liga,1.11,1.2,42.93
256,291,FC Twente,Dutch Eredivisie,1.42,1.56,42.92
257,262,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
258,264,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
259,275,Derby County,English League Championship,1.14,1.25,42.72
260,265,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
261,310,Kashima Antlers,Japanese J League,1.29,1.43,42.56
262,259,Birmingham,English League Championship,1.13,1.25,42.49
263,234,Pumas Unam,Mexican Primera Division Torneo Apertura,1.23,1.37,42.44
264,281,FC Khimki,Russian Premier Liga,1.24,1.38,42.43
265,301,Troyes,French Ligue 2,1.16,1.28,42.42
266,325,FC Luzern,Swiss Raiffeisen Super League,1.39,1.55,42.3
267,293,Heerenveen,Dutch Eredivisie,1.51,1.69,42.21
268,261,Kasimpasa,Turkish Turkcell Super Lig,1.3,1.45,42.21
269,267,Almeria,Spanish Segunda Division,1.08,1.21,42.13
270,270,Portland Timbers,Major League Soccer,1.47,1.65,42.13
271,279,IFK Norrkoping,Swedish Allsvenskan,1.5,1.69,42.06
272,278,Goztepe,Turkish Turkcell Super Lig,1.26,1.42,42.01
273,272,Necaxa,Mexican Primera Division Torneo Apertura,1.14,1.29,41.95
274,284,Rotherham United,English League Championship,1.19,1.35,41.89
275,274,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
276,319,St. Pölten,Austrian T-Mobile Bundesliga,1.41,1.6,41.78
277,288,FC Groningen,Dutch Eredivisie,1.09,1.23,41.73
278,273,Amiens,French Ligue 2,1.07,1.22,41.6
279,257,Rosenborg,Norwegian Tippeligaen,1.43,1.64,41.55
280,283,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
281,277,C.D. Nacional,Portuguese Liga,1.13,1.3,41.31
282,266,Sporting Kansas City,Major League Soccer,1.36,1.57,41.31
283,271,Leganes,Spanish Segunda Division,1.06,1.22,41.3
284,304,Minnesota United FC,Major League Soccer,1.41,1.62,41.27
285,258,Dundalk,UEFA Europa League,1.48,1.7,41.23
286,287,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
287,289,Chicago Fire,Major League Soccer,1.48,1.72,41.16
288,280,AaB,Danish SAS-Ligaen,1.15,1.34,41.05
289,292,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
290,285,Hull City,English League One,1.27,1.49,40.9
291,276,Hannover 96,German 2. Bundesliga,1.21,1.42,40.83
292,309,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.67,1.95,40.81
293,282,Orlando City SC,Major League Soccer,1.32,1.56,40.56
294,295,Inter Miami CF,Major League Soccer,1.28,1.51,40.49
295,268,Moreirense,Portuguese Liga,1.06,1.26,40.48
296,320,Slovan Liberec,UEFA Europa League,1.24,1.47,40.4
297,333,Coventry City,English League Championship,1.18,1.4,40.37
298,298,Patronato,Argentina Primera Division,1.2,1.43,40.35
299,297,Monza,Italy Serie B,1.2,1.43,40.34
300,354,Auxerre,French Ligue 2,1.21,1.44,40.32
301,299,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
302,328,PEC Zwolle,Dutch Eredivisie,1.32,1.57,40.3
303,286,Rayo Vallecano,Spanish Segunda Division,1.07,1.28,40.26
304,263,Sheffield Wednesday,English League Championship,1.03,1.24,40.25
305,303,Tijuana,Mexican Primera Division Torneo Apertura,1.15,1.38,40.19
306,294,Luton Town,English League Championship,1.09,1.31,40.15
307,255,Fortuna Düsseldorf,German 2. Bundesliga,1.24,1.49,40.09
308,370,FC Ufa,Russian Premier Liga,0.98,1.19,40.04
309,352,Clermont Foot,French Ligue 2,1.0,1.2,40.01
310,305,Maritimo,Portuguese Liga,1.1,1.33,39.99
311,306,Colorado Rapids,Major League Soccer,1.37,1.65,39.89
312,290,Heracles,Dutch Eredivisie,1.29,1.57,39.7
313,311,Toronto FC,Major League Soccer,1.29,1.57,39.67
314,312,Banfield,Argentina Primera Division,0.98,1.2,39.66
315,300,Sparta,Dutch Eredivisie,1.32,1.61,39.63
316,344,Tondela,Portuguese Liga,1.16,1.42,39.57
317,314,Atlas,Mexican Primera Division Torneo Apertura,1.08,1.32,39.56
318,350,Cerezo Osaka,Japanese J League,1.04,1.27,39.52
319,324,Belenenses,Portuguese Liga,0.92,1.14,39.51
320,315,Arizona United,United Soccer League,1.48,1.8,39.5
321,316,FC Dallas,Major League Soccer,1.27,1.55,39.47
322,356,BK Hacken,Swedish Allsvenskan,1.12,1.38,39.47
323,317,Sanfrecce Hiroshima,Japanese J League,1.05,1.29,39.42
324,318,Querétaro,Mexican Primera Division Torneo Apertura,1.17,1.44,39.38
325,345,KV Kortrijk,Belgian Jupiler League,1.26,1.55,39.37
326,302,Coritiba,Brasileiro Série A,1.06,1.31,39.24
327,308,KV Mechelen,Belgian Jupiler League,1.37,1.68,39.23
328,329,Columbus Crew,Major League Soccer,1.25,1.55,39.16
329,321,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
330,341,Rijeka,UEFA Europa League,1.28,1.59,39.05
331,327,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
332,334,Lausanne Sports,Swiss Raiffeisen Super League,1.19,1.48,38.96
333,323,Kashiwa Reysol,Japanese J League,1.31,1.63,38.91
334,307,Hammarby,Swedish Allsvenskan,1.51,1.87,38.83
335,330,New York Red Bulls,Major League Soccer,1.3,1.63,38.83
336,332,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
337,343,Sport Recife,Brasileiro Série A,1.1,1.39,38.55
338,335,Henan Jianye,Chinese Super League,1.25,1.57,38.55
339,336,FC Juárez,Mexican Primera Division Torneo Apertura,1.12,1.42,38.51
340,322,SpVgg Greuther Fürth,German 2. Bundesliga,1.2,1.52,38.32
341,339,Randers FC,Danish SAS-Ligaen,1.17,1.49,38.31
342,313,Goiás,Brasileiro Série A,1.12,1.44,38.24
343,346,Toluca,Mexican Primera Division Torneo Apertura,1.24,1.59,38.16
344,347,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
345,348,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
346,359,Wycombe Wanderers,English League Championship,1.11,1.43,38.05
347,362,Odense BK,Danish SAS-Ligaen,1.2,1.54,38.03
348,377,1. FC Heidenheim 1846,German 2. Bundesliga,1.14,1.47,38.0
349,351,Huracán,Argentina Primera Division,0.95,1.24,37.93
350,383,VfL Bochum,German 2. Bundesliga,1.19,1.54,37.83
351,353,Fatih Karagümrük,Turkish Turkcell Super Lig,1.16,1.5,37.79
352,340,FC Zurich,Swiss Raiffeisen Super League,1.36,1.75,37.7
353,349,Lecce,Italy Serie B,1.23,1.6,37.67
354,355,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
355,365,Nagoya Grampus Eight,Japanese J League,0.95,1.25,37.62
356,296,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.11,1.46,37.58
357,326,Servette,Swiss Raiffeisen Super League,1.17,1.53,37.54
358,374,Karlsruher SC,German 2. Bundesliga,1.16,1.52,37.53
359,368,OH Leuven,Belgian Jupiler League,1.33,1.73,37.5
360,358,Atlanta United FC,Major League Soccer,1.11,1.46,37.41
361,361,Atromitos,Greek Super League,1.0,1.33,37.25
362,363,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
363,416,SV Zulte Waregem,Belgian Jupiler League,1.31,1.73,37.09
364,338,Sporting Gijón,Spanish Segunda Division,0.84,1.15,36.94
365,360,Nashville SC,Major League Soccer,0.99,1.33,36.92
366,337,Willem II,Dutch Eredivisie,1.26,1.68,36.92
367,379,Spal,Italy Serie B,1.13,1.51,36.87
368,364,Eupen,Belgian Jupiler League,1.17,1.57,36.76
369,269,FC Tambov,Russian Premier Liga,1.03,1.4,36.75
370,376,Girona FC,Spanish Segunda Division,0.88,1.21,36.74
371,367,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
372,375,Hartberg,Austrian T-Mobile Bundesliga,1.32,1.76,36.6
373,407,Hibernian,Scottish Premiership,1.15,1.55,36.55
374,371,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
375,372,Antalyaspor,Turkish Turkcell Super Lig,1.13,1.54,36.35
376,388,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.08,1.48,36.35
377,380,1. FC Nürnberg,German 2. Bundesliga,1.17,1.59,36.31
378,373,Houston Dynamo,Major League Soccer,1.28,1.73,36.3
379,357,Sonderjyske,Danish SAS-Ligaen,1.17,1.59,36.26
380,404,Holstein Kiel,German 2. Bundesliga,1.19,1.62,36.07
381,412,Viking FK,Norwegian Tippeligaen,1.38,1.87,36.0
382,384,San Jose Earthquakes,Major League Soccer,1.29,1.78,35.71
383,378,Puebla,Mexican Primera Division Torneo Apertura,1.04,1.46,35.64
384,342,Caykur Rizespor,Turkish Turkcell Super Lig,1.18,1.63,35.64
385,389,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.09,1.53,35.39
386,390,Melbourne City,Australian A-League,1.17,1.64,35.39
387,386,IF Elfsborg,Swedish Allsvenskan,1.17,1.64,35.35
388,396,Grenoble,French Ligue 2,0.91,1.32,35.21
389,395,Sydney FC,Australian A-League,1.12,1.58,35.2
390,392,Aberdeen,Scottish Premiership,1.08,1.55,34.94
391,398,OFI Crete,Greek Super League,1.06,1.52,34.85
392,399,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
393,397,Guingamp,French Ligue 2,0.98,1.43,34.76
394,387,Valerenga,Norwegian Tippeligaen,1.11,1.59,34.73
395,369,Mirandes,Spanish Segunda Division,0.88,1.3,34.68
396,331,FC Sion,Swiss Raiffeisen Super League,1.04,1.51,34.59
397,400,Gamba Osaka,Japanese J League,1.07,1.55,34.56
398,382,Brescia,Italy Serie B,1.12,1.62,34.41
399,418,SV Darmstadt 98,German 2. Bundesliga,1.19,1.72,34.36
400,403,Kristiansund BK,Norwegian Tippeligaen,1.2,1.74,34.27
401,405,Los Angeles Galaxy,Major League Soccer,1.27,1.83,34.26
402,385,Fuenlabrada,Spanish Segunda Division,0.89,1.34,34.22
403,394,KV Oostende,Belgian Jupiler League,1.09,1.6,34.17
404,417,SV Ried,Austrian T-Mobile Bundesliga,1.19,1.73,34.16
405,393,Real Oviedo,Spanish Segunda Division,0.91,1.37,34.13
406,366,FK Volgograd,Russian Premier Liga,0.94,1.42,33.85
407,432,Las Palmas,Spanish Segunda Division,0.98,1.48,33.76
408,381,Cercle Brugge,Belgian Jupiler League,1.18,1.74,33.73
409,410,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
410,411,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
411,424,Málaga,Spanish Segunda Division,0.84,1.3,33.72
412,413,Real Salt Lake,Major League Soccer,1.0,1.51,33.64
413,391,Caen,French Ligue 2,0.93,1.43,33.64
414,414,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
415,409,Lugo,Spanish Segunda Division,0.87,1.34,33.52
416,415,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
