rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.87,0.2,93.54
2,2,Barcelona,Spanish Primera Division,3.14,0.43,91.93
3,3,Bayern Munich,German Bundesliga,3.17,0.55,90.53
4,4,Liverpool,Barclays Premier League,2.66,0.36,89.56
5,6,Paris Saint-Germain,French Ligue 1,2.66,0.53,86.63
6,7,Atletico Madrid,Spanish Primera Division,2.19,0.32,86.0
7,5,Real Madrid,Spanish Primera Division,2.44,0.45,85.82
8,8,Chelsea,Barclays Premier League,2.33,0.41,85.58
9,9,Manchester United,Barclays Premier League,2.43,0.5,84.94
10,12,Atalanta,Italy Serie A,2.53,0.56,84.69
11,13,Juventus,Italy Serie A,2.49,0.56,84.38
12,11,Borussia Dortmund,German Bundesliga,2.58,0.62,84.14
13,14,Internazionale,Italy Serie A,2.47,0.58,83.67
14,10,RB Leipzig,German Bundesliga,2.35,0.53,83.34
15,16,Real Sociedad,Spanish Primera Division,2.16,0.47,82.29
16,20,Sevilla FC,Spanish Primera Division,2.19,0.49,82.23
17,18,Arsenal,Barclays Premier League,2.14,0.51,81.22
18,22,Leicester City,Barclays Premier League,2.14,0.51,81.17
19,17,Villarreal,Spanish Primera Division,2.07,0.47,81.09
20,19,Bayer Leverkusen,German Bundesliga,2.14,0.53,80.69
21,15,Tottenham Hotspur,Barclays Premier League,2.24,0.61,80.18
22,21,Napoli,Italy Serie A,2.27,0.67,79.47
23,24,FC Salzburg,Austrian T-Mobile Bundesliga,2.82,1.02,79.38
24,23,Ajax,Dutch Eredivisie,2.66,0.92,79.34
25,28,Lyon,French Ligue 1,2.18,0.65,78.46
26,25,Aston Villa,Barclays Premier League,2.18,0.7,77.5
27,27,Borussia Monchengladbach,German Bundesliga,2.34,0.8,77.44
28,32,Eintracht Frankfurt,German Bundesliga,2.3,0.79,77.15
29,31,VfL Wolfsburg,German Bundesliga,2.07,0.67,76.58
30,26,AS Roma,Italy Serie A,2.27,0.8,76.52
31,29,AC Milan,Italy Serie A,2.25,0.79,76.5
32,30,West Ham United,Barclays Premier League,2.05,0.68,76.06
33,33,FC Porto,Portuguese Liga,2.13,0.75,75.65
34,35,Lille,French Ligue 1,1.79,0.54,75.05
35,39,Brighton and Hove Albion,Barclays Premier League,1.93,0.65,74.69
36,37,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
37,40,AS Monaco,French Ligue 1,2.16,0.83,74.16
38,38,Southampton,Barclays Premier League,1.87,0.64,73.92
39,41,Lazio,Italy Serie A,2.11,0.83,73.56
40,36,Benfica,Portuguese Liga,2.15,0.87,73.14
41,47,Athletic Bilbao,Spanish Primera Division,1.84,0.66,73.06
42,42,Celta Vigo,Spanish Primera Division,1.93,0.74,72.54
43,34,Everton,Barclays Premier League,1.91,0.73,72.49
44,46,Wolverhampton,Barclays Premier League,1.79,0.67,71.99
45,44,Real Betis,Spanish Primera Division,1.97,0.8,71.82
46,49,Flamengo,Brasileiro Série A,2.13,0.92,71.78
47,45,Shakhtar Donetsk,UEFA Europa League,2.23,1.0,71.75
48,48,Olympiacos,Greek Super League,1.91,0.78,71.43
49,53,VfB Stuttgart,German Bundesliga,2.1,0.93,71.02
50,54,TSG Hoffenheim,German Bundesliga,2.17,0.98,71.0
51,51,Eibar,Spanish Primera Division,1.7,0.64,70.84
52,50,Club Brugge,Belgian Jupiler League,1.94,0.84,70.37
53,43,Getafe,Spanish Primera Division,1.65,0.62,70.34
54,52,1. FC Union Berlin,German Bundesliga,1.81,0.76,69.96
55,57,Rangers,Scottish Premiership,1.92,0.86,69.63
56,60,Levante,Spanish Primera Division,1.99,0.92,69.35
57,55,SC Freiburg,German Bundesliga,2.04,0.97,69.04
58,56,Young Boys,Swiss Raiffeisen Super League,1.96,0.95,68.23
59,64,Sporting CP,Portuguese Liga,1.69,0.74,68.15
60,63,Osasuna,Spanish Primera Division,1.72,0.78,67.77
61,59,Leeds United,Barclays Premier League,2.05,1.05,67.46
62,62,Burnley,Barclays Premier League,1.66,0.75,67.17
63,61,Stade Rennes,French Ligue 1,1.62,0.73,67.12
64,66,Dinamo Zagreb,UEFA Europa League,1.98,1.04,66.47
65,65,Crystal Palace,Barclays Premier League,1.74,0.85,66.41
66,58,Hertha Berlin,German Bundesliga,1.81,0.91,66.25
67,68,FC Krasnodar,Russian Premier Liga,1.86,0.95,66.14
68,76,Valencia,Spanish Primera Division,1.83,0.94,65.95
69,67,Fiorentina,Italy Serie A,1.74,0.87,65.87
70,69,PSV,Dutch Eredivisie,2.05,1.13,65.75
71,72,River Plate,Argentina Primera Division,1.74,0.88,65.48
72,74,Udinese,Italy Serie A,1.66,0.82,65.45
73,78,Werder Bremen,German Bundesliga,1.73,0.88,65.31
74,86,Sheffield United,Barclays Premier League,1.61,0.79,65.23
75,70,Granada,Spanish Primera Division,1.68,0.86,64.92
76,77,CSKA Moscow,Russian Premier Liga,1.72,0.89,64.9
77,75,Alavés,Spanish Primera Division,1.68,0.86,64.9
78,89,Brentford,English League Championship,1.73,0.9,64.79
79,71,Fulham,Barclays Premier League,1.67,0.86,64.65
80,79,Besiktas,Turkish Turkcell Super Lig,2.05,1.18,64.46
81,81,Slavia Prague,UEFA Europa League,1.92,1.08,64.42
82,85,Internacional,Brasileiro Série A,1.65,0.86,64.34
83,73,Cadiz,Spanish Primera Division,1.57,0.8,64.22
84,82,Braga,Portuguese Liga,1.78,0.98,64.15
85,80,Marseille,French Ligue 1,1.6,0.83,64.11
86,90,Strasbourg,French Ligue 1,1.72,0.95,63.55
87,83,Dynamo Kiev,UEFA Europa League,1.87,1.08,63.45
88,92,Galatasaray,Turkish Turkcell Super Lig,1.85,1.08,63.11
89,105,Newcastle,Barclays Premier League,1.62,0.89,62.82
90,93,SD Huesca,Spanish Primera Division,1.59,0.87,62.76
91,84,Lens,French Ligue 1,1.59,0.87,62.64
92,88,Sassuolo,Italy Serie A,1.88,1.13,62.36
93,87,LASK Linz,Austrian T-Mobile Bundesliga,1.86,1.13,62.03
94,100,AZ,Dutch Eredivisie,1.99,1.24,61.98
95,117,Verona,Italy Serie A,1.63,0.93,61.93
96,94,Spartak Moscow,Russian Premier Liga,1.65,0.95,61.89
97,96,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
98,97,Bodo/Glimt,Norwegian Tippeligaen,2.33,1.55,61.76
99,98,Monterrey,Mexican Primera Division Torneo Clausura,1.71,1.02,61.6
100,99,Bordeaux,French Ligue 1,1.5,0.84,61.5
101,101,FC Midtjylland,Danish SAS-Ligaen,1.77,1.08,61.35
102,91,Real Valladolid,Spanish Primera Division,1.6,0.94,61.25
103,104,Kawasaki Frontale,Japanese J League,1.93,1.23,61.07
104,123,Mainz,German Bundesliga,1.78,1.12,60.77
105,102,Atletico Mineiro,Brasileiro Série A,1.66,1.01,60.72
106,108,PAOK Salonika,Greek Super League,1.47,0.85,60.57
107,114,Angers,French Ligue 1,1.46,0.85,60.45
108,103,Palmeiras,Brasileiro Série A,1.51,0.9,60.27
109,113,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
110,118,Torino,Italy Serie A,1.66,1.04,60.22
111,120,Sampdoria,Italy Serie A,1.71,1.08,60.19
112,119,Watford,English League Championship,1.54,0.94,60.02
113,111,Norwich City,English League Championship,1.61,1.01,59.84
114,115,FC Cologne,German Bundesliga,1.65,1.04,59.77
115,106,Bologna,Italy Serie A,1.69,1.08,59.63
116,121,FC Augsburg,German Bundesliga,1.6,1.01,59.53
117,116,São Paulo,Brasileiro Série A,1.54,0.96,59.33
118,129,Bragantino,Brasileiro Série A,1.53,0.97,59.13
119,126,Metz,French Ligue 1,1.39,0.84,59.08
120,95,Grêmio,Brasileiro Série A,1.48,0.92,59.04
121,110,AFC Bournemouth,English League Championship,1.65,1.08,58.94
122,112,Espanyol,Spanish Segunda Division,1.44,0.89,58.87
123,130,Fenerbahce,Turkish Turkcell Super Lig,1.8,1.22,58.82
124,127,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
125,128,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
126,124,Tigres UANL,Mexican Primera Division Torneo Clausura,1.55,1.02,58.3
127,109,Celtic,Scottish Premiership,1.78,1.23,58.29
128,131,Molde,Norwegian Tippeligaen,2.09,1.53,57.72
129,107,Feyenoord,Dutch Eredivisie,1.76,1.23,57.64
130,133,AEK Athens,Greek Super League,1.52,1.02,57.39
131,122,Arminia Bielefeld,German Bundesliga,1.49,1.0,57.28
132,134,Sparta Prague,UEFA Europa League,1.74,1.25,56.89
133,135,Brest,French Ligue 1,1.66,1.18,56.75
134,136,Maccabi Tel-Aviv,UEFA Europa League,1.48,1.01,56.68
135,137,Reims,French Ligue 1,1.44,0.98,56.47
136,125,St Etienne,French Ligue 1,1.44,1.0,56.34
137,138,Malmo FF,Swedish Allsvenskan,1.73,1.27,56.09
138,145,Cruz Azul,Mexican Primera Division Torneo Clausura,1.59,1.15,55.9
139,139,Red Star Belgrade,UEFA Europa League,1.75,1.31,55.76
140,144,Genk,Belgian Jupiler League,1.81,1.38,55.44
141,147,Spezia,Italy Serie A,1.58,1.16,55.4
142,142,Genoa,Italy Serie A,1.48,1.08,55.17
143,143,Rapid Vienna,Austrian T-Mobile Bundesliga,1.86,1.44,55.04
144,140,Elche,Spanish Primera Division,1.45,1.05,54.91
145,148,Sochi,Russian Premier Liga,1.45,1.07,54.58
146,141,Benevento,Italy Serie A,1.59,1.2,54.57
147,149,Trabzonspor,Turkish Turkcell Super Lig,1.56,1.18,54.55
148,146,Nantes,French Ligue 1,1.4,1.03,54.49
149,154,Nice,French Ligue 1,1.45,1.08,54.43
150,132,Basel,Swiss Raiffeisen Super League,1.72,1.34,54.4
151,152,Montpellier,French Ligue 1,1.6,1.24,54.19
152,151,Ferencvaros,UEFA Champions League,1.62,1.26,53.98
153,153,Lokomotiv Moscow,Russian Premier Liga,1.42,1.08,53.82
154,165,FC Utrecht,Dutch Eredivisie,1.69,1.34,53.71
155,155,Club América,Mexican Primera Division Torneo Clausura,1.45,1.11,53.61
156,156,Dinamo Moscow,Russian Premier Liga,1.33,1.0,53.57
157,161,Ceará,Brasileiro Série A,1.41,1.08,53.52
158,157,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
159,159,Hapoel Be'er,UEFA Europa League,1.62,1.29,53.32
160,175,Pacos Ferreira,Portuguese Liga,1.37,1.05,53.26
161,168,Guimaraes,Portuguese Liga,1.35,1.04,53.15
162,150,Swansea City,English League Championship,1.33,1.01,53.08
163,163,Schalke 04,German Bundesliga,1.58,1.26,52.91
164,166,CSKA Sofia,UEFA Europa League,1.32,1.02,52.77
165,172,Blackburn,English League Championship,1.42,1.12,52.71
166,167,Rostov,Russian Premier Liga,1.39,1.09,52.68
167,169,Cagliari,Italy Serie A,1.63,1.33,52.56
168,162,West Bromwich Albion,Barclays Premier League,1.54,1.26,52.2
169,190,Toulouse,French Ligue 2,1.64,1.37,51.99
170,197,Reading,English League Championship,1.35,1.09,51.85
171,174,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
172,164,Corinthians,Brasileiro Série A,1.32,1.06,51.81
173,170,Stoke City,English League Championship,1.28,1.03,51.68
174,177,Santos Laguna,Mexican Primera Division Torneo Clausura,1.44,1.19,51.45
175,178,Anderlecht,Belgian Jupiler League,1.33,1.09,51.28
176,179,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
177,160,Middlesbrough,English League Championship,1.27,1.03,51.2
178,171,Parma,Italy Serie A,1.43,1.19,51.17
179,173,Antwerp,Belgian Jupiler League,1.48,1.25,51.06
180,183,FC Copenhagen,Danish SAS-Ligaen,1.56,1.34,51.05
181,182,Crotone,Italy Serie A,1.48,1.25,51.03
182,184,Los Angeles FC,Major League Soccer,1.78,1.55,50.97
183,185,Philadelphia Union,Major League Soccer,1.6,1.38,50.91
184,186,CFR 1907 Cluj,UEFA Europa League,1.47,1.25,50.79
185,176,Lorient,French Ligue 1,1.44,1.23,50.77
186,196,Fluminense,Brasileiro Série A,1.29,1.08,50.72
187,188,Cardiff City,English League Championship,1.37,1.15,50.7
188,187,New York City FC,Major League Soccer,1.67,1.46,50.69
189,202,Atlético Paranaense,Brasileiro Série A,1.18,0.96,50.65
190,189,AGF Aarhus,Danish SAS-Ligaen,1.57,1.36,50.58
191,181,Alanyaspor,Turkish Turkcell Super Lig,1.48,1.27,50.56
192,158,Vitesse,Dutch Eredivisie,1.54,1.33,50.5
193,206,KAA Gent,Belgian Jupiler League,1.43,1.23,50.44
194,215,Mallorca,Spanish Segunda Division,1.24,1.04,50.35
195,193,Ludogorets,UEFA Europa League,1.54,1.35,50.16
196,201,Standard Liege,Belgian Jupiler League,1.49,1.3,50.14
197,180,Santos,Brasileiro Série A,1.34,1.15,49.97
198,198,Lech Poznan,UEFA Europa League,1.34,1.16,49.84
199,191,Dijon FCO,French Ligue 1,1.25,1.07,49.84
200,199,Rubin Kazan,Russian Premier Liga,1.19,1.0,49.83
201,200,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
202,203,Brondby,Danish SAS-Ligaen,1.55,1.39,49.46
203,204,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
204,205,León,Mexican Primera Division Torneo Clausura,1.46,1.3,49.27
205,219,Barnsley,English League Championship,1.24,1.09,49.01
206,212,Hamburg SV,German 2. Bundesliga,1.53,1.4,48.86
207,194,Rio Ave,Portuguese Liga,1.19,1.06,48.73
208,195,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.41,1.28,48.69
209,207,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
210,210,Racing Club,Argentina Primera Division,1.18,1.06,48.4
211,214,Seattle Sounders FC,Major League Soccer,1.43,1.33,48.14
212,209,Fortaleza,Brasileiro Série A,1.13,1.01,48.11
213,224,Derby County,English League Championship,1.14,1.03,47.83
214,217,FK Qarabag,UEFA Europa League,1.32,1.23,47.77
215,211,Queens Park Rangers,English League Championship,1.32,1.23,47.73
216,220,Panathinaikos,Greek Super League,1.08,0.98,47.54
217,213,Pachuca,Mexican Primera Division Torneo Clausura,1.3,1.22,47.37
218,192,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.47,1.41,47.25
219,208,St Gallen,Swiss Raiffeisen Super League,1.43,1.37,47.22
220,230,Rotherham United,English League Championship,1.35,1.29,47.17
221,223,Clermont Foot,French Ligue 2,1.16,1.1,46.81
222,218,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.42,1.38,46.62
223,221,Millwall,English League Championship,1.17,1.12,46.6
224,216,Bahía,Brasileiro Série A,1.32,1.29,46.32
225,238,Sporting de Charleroi,Belgian Jupiler League,1.44,1.42,46.25
226,228,Atlético Goianiense,Brasileiro Série A,1.17,1.13,46.12
227,227,FC Nordsjaelland,Danish SAS-Ligaen,1.47,1.47,46.06
